Id,SalePrice
1461,102915
1462,151958
1463,165629
1464,186133
1465,188062
1466,170882
1467,188360
1468,162250
1469,194685
1470,111310
1471,193785
1472,101264
1473,85707
1474,147357
1475,105293
1476,347995
1477,243334
1478,303505
1479,295592
1480,427178
1481,284727
1482,210302
1483,177987
1484,167800
1485,198463
1486,210488
1487,297033
1488,255301
1489,188385
1490,240387
1491,215298
1492,91302
1493,210709
1494,293139
1495,269803
1496,245070
1497,173871
1498,172476
1499,160060
1500,163800
1501,199750
1502,150259
1503,281971
1504,242673
1505,222584
1506,198013
1507,244435
1508,199737
1509,150741
1510,134430
1511,153483
1512,180777
1513,153077
1514,143861
1515,212138
1516,165397
1517,165125
1518,117497
1519,230502
1520,126922
1521,118966
1522,192159
1523,94715
1524,124654
1525,92365
1526,82994
1527,89514
1528,147209
1529,137480
1530,201402
1531,145140
1532,114483
1533,180157
1534,148600
1535,158709
1536,108661
1537,33059
1538,165101
1539,223130
1540,109489
1541,143706
1542,143141
1543,184754
1544,87644
1545,104282
1546,143698
1547,147550
1548,129945
1549,107774
1550,136166
1551,131742
1552,148822
1553,165449
1554,124943
1555,159086
1556,102781
1557,116885
1558,112682
1559,78412
1560,135798
1561,143449
1562,135087
1563,116285
1564,163435
1565,128214
1566,240502
1567,75442
1568,231809
1569,127994
1570,135652
1571,88446
1572,136319
1573,252495
1574,109117
1575,235515
1576,256057
1577,190267
1578,149980
1579,118680
1580,189647
1581,160347
1582,124687
1583,289654
1584,224015
1585,150390
1586,49852
1587,96776
1588,148965
1589,100214
1590,130264
1591,75582
1592,133344
1593,132383
1594,150432
1595,111171
1596,216885
1597,162780
1598,191089
1599,187401
1600,180470
1601,27934
1602,114199
1603,57111
1604,267067
1605,248445
1606,168220
1607,161255
1608,226833
1609,193971
1610,149831
1611,130129
1612,183425
1613,158914
1614,132235
1615,83461
1616,59367
1617,65947
1618,108158
1619,152136
1620,153284
1621,133958
1622,154632
1623,261668
1624,214628
1625,111269
1626,180516
1627,180442
1628,282133
1629,172515
1630,321098
1631,211413
1632,225195
1633,180770
1634,187423
1635,185268
1636,155647
1637,186620
1638,199282
1639,175971
1640,260236
1641,177981
1642,256259
1643,222064
1644,225012
1645,238100
1646,165800
1647,157275
1648,130851
1649,136169
1650,102274
1651,109283
1652,102938
1653,102696
1654,146961
1655,149116
1656,137958
1657,148724
1658,149949
1659,109520
1660,147947
1661,418252
1662,340896
1663,366337
1664,434577
1665,317127
1666,302840
1667,343605
1668,349221
1669,309089
1670,343493
1671,257912
1672,384142
1673,286301
1674,251563
1675,202684
1676,208109
1677,207500
1678,416721
1679,344573
1680,318101
1681,275471
1682,287627
1683,186647
1684,189097
1685,195707
1686,173533
1687,185032
1688,207501
1689,210309
1690,212578
1691,199849
1692,266260
1693,184542
1694,181703
1695,161369
1696,270394
1697,162669
1698,313460
1699,332045
1700,242625
1701,267290
1702,252941
1703,246367
1704,280239
1705,264548
1706,386668
1707,207387
1708,207702
1709,264934
1710,227095
1711,278999
1712,254341
1713,273941
1714,219466
1715,215339
1716,184083
1717,185908
1718,142634
1719,219772
1720,264713
1721,179293
1722,132752
1723,163573
1724,219857
1725,243528
1726,196251
1727,156621
1728,200458
1729,164255
1730,168449
1731,132900
1732,122319
1733,102488
1734,110179
1735,143937
1736,100667
1737,295411
1738,225983
1739,268809
1740,203360
1741,189147
1742,184305
1743,192272
1744,313360
1745,220179
1746,205471
1747,216636
1748,223016
1749,162727
1750,133212
1751,257488
1752,106930
1753,151509
1754,201413
1755,180270
1756,132729
1757,106671
1758,150721
1759,154944
1760,159738
1761,153887
1762,175860
1763,181138
1764,92022
1765,186675
1766,189428
1767,232169
1768,141804
1769,174812
1770,168315
1771,98253
1772,139769
1773,115736
1774,138407
1775,142240
1776,130629
1777,111952
1778,149458
1779,128307
1780,181450
1781,116382
1782,63173
1783,146525
1784,107484
1785,129911
1786,134500
1787,182263
1788,75819
1789,103783
1790,46706
1791,206222
1792,153436
1793,136548
1794,181539
1795,132364
1796,131116
1797,136455
1798,108964
1799,85468
1800,117078
1801,112228
1802,134670
1803,158757
1804,141343
1805,139835
1806,136535
1807,162804
1808,124476
1809,126941
1810,148125
1811,126712
1812,122499
1813,122026
1814,98183
1815,34265
1816,115690
1817,130916
1818,186680
1819,139712
1820,59404
1821,133971
1822,169316
1823,46293
1824,135368
1825,125137
1826,98354
1827,80383
1828,129572
1829,155676
1830,159307
1831,150884
1832,78089
1833,143326
1834,128759
1835,116386
1836,129771
1837,82850
1838,102804
1839,125107
1840,141604
1841,105612
1842,83848
1843,108379
1844,137045
1845,119805
1846,152671
1847,149796
1848,41989
1849,123423
1850,112473
1851,148765
1852,120531
1853,122398
1854,173848
1855,157886
1856,224900
1857,143878
1858,144996
1859,107084
1860,154249
1861,106150
1862,296209
1863,295464
1864,295475
1865,347237
1866,345086
1867,232062
1868,301307
1869,220001
1870,235516
1871,256296
1872,188442
1873,230007
1874,130837
1875,187599
1876,186551
1877,214178
1878,202889
1879,115088
1880,121024
1881,245245
1882,252380
1883,182064
1884,205306
1885,237829
1886,280270
1887,226850
1888,271120
1889,172346
1890,89874
1891,125836
1892,83023
1893,129408
1894,110403
1895,126231
1896,128266
1897,100691
1898,114794
1899,157506
1900,135264
1901,155738
1902,120746
1903,201108
1904,121331
1905,187922
1906,140575
1907,200034
1908,109115
1909,145956
1910,123324
1911,191561
1912,273973
1913,161580
1914,57144
1915,303986
1916,64787
1917,249378
1918,133716
1919,176609
1920,159583
1921,366694
1922,329877
1923,233762
1924,207664
1925,217940
1926,370558
1927,130372
1928,163804
1929,113282
1930,125819
1931,140800
1932,139496
1933,175925
1934,169327
1935,167426
1936,184998
1937,175111
1938,186132
1939,239784
1940,186940
1941,166983
1942,194613
1943,203408
1944,319134
1945,358244
1946,193023
1947,279741
1948,169324
1949,262289
1950,202807
1951,280388
1952,227873
1953,196639
1954,186779
1955,121230
1956,331631
1957,154592
1958,296201
1959,133824
1960,100169
1961,121433
1962,96374
1963,108248
1964,96669
1965,141165
1966,140724
1967,284669
1968,369941
1969,361281
1970,352406
1971,425890
1972,353718
1973,299968
1974,323454
1975,440991
1976,274089
1977,338160
1978,312756
1979,317082
1980,180108
1981,335832
1982,215624
1983,201475
1984,187534
1985,220617
1986,215278
1987,193400
1988,186823
1989,209319
1990,227443
1991,218371
1992,237218
1993,175374
1994,238345
1995,180518
1996,277600
1997,307986
1998,288869
1999,277256
2000,303103
2001,295903
2002,258129
2003,265744
2004,291668
2005,230213
2006,215545
2007,259493
2008,227403
2009,203247
2010,216803
2011,152138
2012,186275
2013,186675
2014,205176
2015,219135
2016,201644
2017,212539
2018,103513
2019,132070
2020,79648
2021,89384
2022,187105
2023,152619
2024,287019
2025,332353
2026,181232
2027,162870
2028,159568
2029,173633
2030,271707
2031,244725
2032,262984
2033,263451
2034,184313
2035,215699
2036,224853
2037,229621
2038,326279
2039,224192
2040,332816
2041,288085
2042,196203
2043,177536
2044,174809
2045,204486
2046,128121
2047,136877
2048,153642
2049,127831
2050,178189
2051,118869
2052,116843
2053,144727
2054,81062
2055,174267
2056,145392
2057,105428
2058,214195
2059,124515
2060,178681
2061,181306
2062,112237
2063,115979
2064,121301
2065,126337
2066,174027
2067,109320
2068,131410
2069,85358
2070,107973
2071,77930
2072,159020
2073,135693
2074,175215
2075,140501
2076,122411
2077,143198
2078,108758
2079,145560
2080,120043
2081,122310
2082,107332
2083,147162
2084,95534
2085,103854
2086,107486
2087,134102
2088,95549
2089,80602
2090,132835
2091,82181
2092,141010
2093,167442
2094,135564
2095,142050
2096,82981
2097,118033
2098,151395
2099,19334
2100,35890
2101,115579
2102,144492
2103,88296
2104,146890
2105,159634
2106,45144
2107,198403
2108,125196
2109,96389
2110,107586
2111,149510
2112,123567
2113,119610
2114,126940
2115,159887
2116,95547
2117,135103
2118,116349
2119,107885
2120,128034
2121,76318
2122,94474
2123,80627
2124,169390
2125,143428
2126,147972
2127,182572
2128,144788
2129,76249
2130,120289
2131,131591
2132,112988
2133,121828
2134,124464
2135,106530
2136,50248
2137,100098
2138,148888
2139,150406
2140,143751
2141,161530
2142,120839
2143,147712
2144,103117
2145,137309
2146,164850
2147,136503
2148,147766
2149,164550
2150,221294
2151,126357
2152,195677
2153,190270
2154,111369
2155,137561
2156,274413
2157,239324
2158,236025
2159,227572
2160,192886
2161,256346
2162,358281
2163,363241
2164,251703
2165,185879
2166,150425
2167,208594
2168,191262
2169,200866
2170,217929
2171,159340
2172,128560
2173,163105
2174,226100
2175,277902
2176,294256
2177,240588
2178,223071
2179,142177
2180,192699
2181,197846
2182,226342
2183,196876
2184,113217
2185,125136
2186,141238
2187,161618
2188,163619
2189,297965
2190,65807
2191,62332
2192,79863
2193,124130
2194,111765
2195,95751
2196,93748
2197,106775
2198,164183
2199,193030
2200,127690
2201,144450
2202,215794
2203,117298
2204,150160
2205,102034
2206,130166
2207,191333
2208,224496
2209,196646
2210,119345
2211,110047
2212,128905
2213,116849
2214,145673
2215,89621
2216,147996
2217,54011
2218,111007
2219,107466
2220,32806
2221,304582
2222,272188
2223,298317
2224,220445
2225,115499
2226,178688
2227,225379
2228,285517
2229,240378
2230,142889
2231,223875
2232,185180
2233,195458
2234,266774
2235,241911
2236,253469
2237,315914
2238,197422
2239,128427
2240,163256
2241,145154
2242,108964
2243,113811
2244,100995
2245,94014
2246,142772
2247,126049
2248,111057
2249,113682
2250,122252
2251,89451
2252,181383
2253,146377
2254,171091
2255,184856
2256,191234
2257,198870
2258,169862
2259,173726
2260,108873
2261,192574
2262,202224
2263,351291
2264,418464
2265,138487
2266,269198
2267,326596
2268,373735
2269,163237
2270,207953
2271,222181
2272,250648
2273,171381
2274,180297
2275,153997
2276,209146
2277,181950
2278,147929
2279,122089
2280,101311
2281,172651
2282,185588
2283,112515
2284,122413
2285,134321
2286,116688
2287,356513
2288,273182
2289,298598
2290,390298
2291,324060
2292,391349
2293,414144
2294,351882
2295,432115
2296,236778
2297,348886
2298,340462
2299,342659
2300,302496
2301,318418
2302,251600
2303,244863
2304,240788
2305,206039
2306,204045
2307,212893
2308,216161
2309,300701
2310,204402
2311,211632
2312,181658
2313,181293
2314,189836
2315,191612
2316,218989
2317,196485
2318,195331
2319,197543
2320,189553
2321,236783
2322,202832
2323,193074
2324,196791
2325,220947
2326,175877
2327,212910
2328,231246
2329,187590
2330,180514
2331,323124
2332,354613
2333,300951
2334,254938
2335,274531
2336,292418
2337,194979
2338,256000
2339,231085
2340,394762
2341,194437
2342,244058
2343,230958
2344,232861
2345,237437
2346,209741
2347,195321
2348,246217
2349,199934
2350,302207
2351,268264
2352,260596
2353,257795
2354,139326
2355,157069
2356,169933
2357,207590
2358,206771
2359,118616
2360,122377
2361,141223
2362,266689
2363,160548
2364,184975
2365,231145
2366,195325
2367,222167
2368,206426
2369,197293
2370,170410
2371,171418
2372,199655
2373,299950
2374,304552
2375,238697
2376,294302
2377,336217
2378,144206
2379,215393
2380,163511
2381,168353
2382,215732
2383,202237
2384,250746
2385,175003
2386,134545
2387,117472
2388,119669
2389,120948
2390,146808
2391,136001
2392,103405
2393,175477
2394,127868
2395,205065
2396,147011
2397,216484
2398,118288
2399,69107
2400,69375
2401,106415
2402,139493
2403,134029
2404,147813
2405,165790
2406,141313
2407,131780
2408,155997
2409,108327
2410,191362
2411,102571
2412,150938
2413,116889
2414,151319
2415,127551
2416,128120
2417,130575
2418,121578
2419,132268
2420,113974
2421,123649
2422,95960
2423,143956
2424,134930
2425,194627
2426,133301
2427,141880
2428,176941
